roi,name,dept,altitude,date,no2_mol_m2,n_valid_pixels
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cobija,Cobija,Pando,lowland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,3.4287375337486077e-06,222
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
montero,Montero,Santa Cruz,lowland,2021-01-01,,0
